pathway_id	pathway_name	kc
R-HSA-193634	Axonal growth inhibition (RHOA activation)	ACTIVATES STRESS SIGNALING PATHWAYS;ALTERS CELL PROLIFERATION AND CELL DEATH
R-HSA-209563	Axonal growth stimulation	ACTIVATES STRESS SIGNALING PATHWAYS;ALTERS CELL PROLIFERATION AND CELL DEATH
R-HSA-140534	Caspase activation via Death Receptors in the presence of ligand	ACTIVATES STRESS SIGNALING PATHWAYS;ALTERS CELL PROLIFERATION AND CELL DEATH
R-HSA-418889	Caspase activation via Dependence Receptors in the absence of ligand	ACTIVATES STRESS SIGNALING PATHWAYS;ALTERS CELL PROLIFERATION AND CELL DEATH
R-HSA-5357769	Caspase activation via extrinsic apoptotic signalling pathway	ACTIVATES STRESS SIGNALING PATHWAYS;ALTERS CELL PROLIFERATION AND CELL DEATH
R-HSA-204998	Cell death signalling via NRAGE, NRIF and NADE	ACTIVATES STRESS SIGNALING PATHWAYS;ALTERS CELL PROLIFERATION AND CELL DEATH
R-HSA-193681	Ceramide signalling	ACTIVATES STRESS SIGNALING PATHWAYS;ALTERS CELL PROLIFERATION AND CELL DEATH
R-HSA-73887	Death Receptor Signaling	ACTIVATES STRESS SIGNALING PATHWAYS;ALTERS CELL PROLIFERATION AND CELL DEATH
R-HSA-69416	Dimerization of procaspase-8	ACTIVATES STRESS SIGNALING PATHWAYS;ALTERS CELL PROLIFERATION AND CELL DEATH
R-HSA-75157	FasL/ CD95L signaling	ACTIVATES STRESS SIGNALING PATHWAYS;ALTERS CELL PROLIFERATION AND CELL DEATH
R-HSA-205025	NADE modulates death signalling	ACTIVATES STRESS SIGNALING PATHWAYS;ALTERS CELL PROLIFERATION AND CELL DEATH
R-HSA-209560	NF-kB is activated and signals survival	ACTIVATES STRESS SIGNALING PATHWAYS;ALTERS CELL PROLIFERATION AND CELL DEATH
R-HSA-205017	NFG and proNGF binds to p75NTR	ACTIVATES STRESS SIGNALING PATHWAYS;ALTERS CELL PROLIFERATION AND CELL DEATH
R-HSA-193648	NRAGE signals death through JNK	ACTIVATES STRESS SIGNALING PATHWAYS;ALTERS CELL PROLIFERATION AND CELL DEATH
R-HSA-205043	NRIF signals cell death from the nucleus	ACTIVATES STRESS SIGNALING PATHWAYS;ALTERS CELL PROLIFERATION AND CELL DEATH
R-HSA-193692	Regulated proteolysis of p75NTR	ACTIVATES STRESS SIGNALING PATHWAYS;ALTERS CELL PROLIFERATION AND CELL DEATH
R-HSA-3371378	Regulation by c-FLIP	ACTIVATES STRESS SIGNALING PATHWAYS;ALTERS CELL PROLIFERATION AND CELL DEATH
R-HSA-5357905	Regulation of TNFR1 signaling	ACTIVATES STRESS SIGNALING PATHWAYS;ALTERS CELL PROLIFERATION AND CELL DEATH
R-HSA-75893	TNF signaling	ACTIVATES STRESS SIGNALING PATHWAYS;ALTERS CELL PROLIFERATION AND CELL DEATH
R-HSA-5357956	TNFR1-induced NF-kappa-B signaling pathway	ACTIVATES STRESS SIGNALING PATHWAYS;ALTERS CELL PROLIFERATION AND CELL DEATH
R-HSA-5357786	TNFR1-induced proapoptotic signaling	ACTIVATES STRESS SIGNALING PATHWAYS;ALTERS CELL PROLIFERATION AND CELL DEATH
R-HSA-5626978	TNFR1-mediated ceramide production	ACTIVATES STRESS SIGNALING PATHWAYS;ALTERS CELL PROLIFERATION AND CELL DEATH
R-HSA-75158	TRAIL  signaling	ACTIVATES STRESS SIGNALING PATHWAYS;ALTERS CELL PROLIFERATION AND CELL DEATH
R-HSA-193704	p75 NTR receptor-mediated signalling	ACTIVATES STRESS SIGNALING PATHWAYS;ALTERS CELL PROLIFERATION AND CELL DEATH
R-HSA-193670	p75NTR negatively regulates cell cycle via SC1	ACTIVATES STRESS SIGNALING PATHWAYS;ALTERS CELL PROLIFERATION AND CELL DEATH
R-HSA-209543	p75NTR recruits signalling complexes	ACTIVATES STRESS SIGNALING PATHWAYS;ALTERS CELL PROLIFERATION AND CELL DEATH
R-HSA-193697	p75NTR regulates axonogenesis	ACTIVATES STRESS SIGNALING PATHWAYS;ALTERS CELL PROLIFERATION AND CELL DEATH
R-HSA-193639	p75NTR signals via NF-kB	ACTIVATES STRESS SIGNALING PATHWAYS;ALTERS CELL PROLIFERATION AND CELL DEATH
R-HSA-198753	ERK/MAPK targets	ACTIVATES STRESS SIGNALING PATHWAYS;CAUSES INFLAMMATION
R-HSA-450321	JNK (c-Jun kinases) phosphorylation and  activation mediated by activated human TAK1	ACTIVATES STRESS SIGNALING PATHWAYS;CAUSES INFLAMMATION
R-HSA-450294	MAP kinase activation	ACTIVATES STRESS SIGNALING PATHWAYS;CAUSES INFLAMMATION
R-HSA-450282	MAPK targets/ Nuclear events mediated by MAP kinases	ACTIVATES STRESS SIGNALING PATHWAYS;CAUSES INFLAMMATION
R-HSA-450302	activated TAK1 mediates p38 MAPK activation	ACTIVATES STRESS SIGNALING PATHWAYS;CAUSES INFLAMMATION
R-HSA-179409	APC-Cdc20 mediated degradation of Nek2A	ALTERS CELL PROLIFERATION AND CELL DEATH
R-HSA-174143	APC/C-mediated degradation of cell cycle proteins	ALTERS CELL PROLIFERATION AND CELL DEATH
R-HSA-174048	APC/C:Cdc20 mediated degradation of Cyclin B	ALTERS CELL PROLIFERATION AND CELL DEATH
R-HSA-174154	APC/C:Cdc20 mediated degradation of Securin	ALTERS CELL PROLIFERATION AND CELL DEATH
R-HSA-176409	APC/C:Cdc20 mediated degradation of mitotic proteins	ALTERS CELL PROLIFERATION AND CELL DEATH
R-HSA-174178	APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1	ALTERS CELL PROLIFERATION AND CELL DEATH
R-HSA-179419	APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint	ALTERS CELL PROLIFERATION AND CELL DEATH
R-HSA-8854518	AURKA Activation by TPX2	ALTERS CELL PROLIFERATION AND CELL DEATH
R-HSA-9659787	Aberrant regulation of mitotic G1/S transition in cancer due to RB1 defects	ALTERS CELL PROLIFERATION AND CELL DEATH
R-HSA-9687139	Aberrant regulation of mitotic cell cycle due to RB1 defects	ALTERS CELL PROLIFERATION AND CELL DEATH
R-HSA-9687136	Aberrant regulation of mitotic exit in cancer due to RB1 defects	ALTERS CELL PROLIFERATION AND CELL DEATH
R-HSA-2122948	Activated NOTCH1 Transmits Signal to the Nucleus	ALTERS CELL PROLIFERATION AND CELL DEATH
R-HSA-111452	Activation and oligomerization of BAK protein	ALTERS CELL PROLIFERATION AND CELL DEATH
R-HSA-176814	Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins	ALTERS CELL PROLIFERATION AND CELL DEATH
R-HSA-176187	Activation of ATR in response to replication stress	ALTERS CELL PROLIFERATION AND CELL DEATH
R-HSA-111447	Activation of BAD and translocation to mitochondria	ALTERS CELL PROLIFERATION AND CELL DEATH
R-HSA-114452	Activation of BH3-only proteins	ALTERS CELL PROLIFERATION AND CELL DEATH
R-HSA-111446	Activation of BIM and translocation to mitochondria	ALTERS CELL PROLIFERATION AND CELL DEATH
R-HSA-139910	Activation of BMF and translocation to mitochondria	ALTERS CELL PROLIFERATION AND CELL DEATH
